Variable Name,Nom de la variable,"Variable Code (2011-2012, 2012-2013) / Code de la variable (2011-2012, 2012-2013)",Detection Limit (DL) /  Limite de détection de la méthode (LD),Variable Code (2013-2018) / Code de la variable (2013-2018),Detection Limit (DL) /  Limite de détection de la méthode (DL),Variable Code / Code de la variable,Detection Limit (DL) /  Limite de détection de la méthode (LD),Variable Code (Metal45) / Code de la variable (Métaux45),Variable Code (Metals34) / Code de la variable (Métaux34),Detection Limit (DL) /  Limite de détection de la méthode (LD),Unit / Unité,Laboratory / Laboratoire ,,Notes/ Remarques
ETHYL BENZENE,Éthylbenzène,,,,,108835,0.1,,,,UG/L,PNLET,,
M-+P-XYLENE,"Diméthylbenzènes (xylènes (m,p))",,,,,108836,0.1,,,,UG/L,PNLET,,
O-XYLENE,"1,2-xylène (o-xylène) ",,,,,108837,0.05,,,,UG/L,PNLET,,
MERCURY TOTAL,Mercure total,,,,,74475,0.035,,,,NG/L,FLETT,,
METHYL MERCURY,Méthylmercure,,,,,111116,0.03,,,,NG/L,FLETT,,
INDENE,Indène,,,,,102123,5.05,,,,NG/L,NLET Burlington,,
"1,2,3,4-TETRAHYDRONAPHTHALENE","1,2,3,4-tétrahydronaphtalène",,,,,102124,5.71,,,,NG/L,NLET Burlington,,
NAPHTHALENE,Naphtalène,,,,,102125,5.8,,,,NG/L,NLET Burlington,,
2-METHYLNAPHTHALENE,2-méthylnaphtalène,,,,,102126,7.59,,,,NG/L,NLET Burlington,,
1-METHYLNAPHTHALENE,1-méthylnaphtalène ,,,,,102127,6.73,,,,NG/L,NLET Burlington,,
2-CHLORONAPHTHALENE,2-chloronaphtalène,,,,,102128,6.65,,,,NG/L,NLET Burlington,,
ACENAPHTHYLENE,Acénaphtylène,,,,,102129,6.53,,,,NG/L,NLET Burlington,,
ACENAPHTHENE,Acenaphtène,,,,,102130,5.17,,,,NG/L,NLET Burlington,,
FLUORENE,Fluorène,,,,,102131,6.38,,,,NG/L,NLET Burlington,,
PHENANTHRENE,Phénanthrène,,,,,102132,6.2,,,,NG/L,NLET Burlington,,
ANTHRACENE,Anthracène,,,,,102133,6.12,,,,NG/L,NLET Burlington,,
FLUORANTHENE,Fluoranthène,,,,,102134,4.08,,,,NG/L,NLET Burlington,,
PYRENE,Pyrène,,,,,102135,3.93,,,,NG/L,NLET Burlington,,
BENZO(A)ANTHRACENE,Benzo(a)anthracène,,,,,102136,9.96,,,,NG/L,NLET Burlington,,
CHRYSENE,Chrysène,,,,,102137,2.95,,,,NG/L,NLET Burlington,,
BENZO(B)FLUORANTHENE,Benzo(b)fluoranthène,,,,,106023,10,,,,NG/L,NLET Burlington,,
BENZO(K)FLUORANTHENE,Benzo(k)fluoranthène,,,,,106024,8.63,,,,NG/L,NLET Burlington,,
BENZO(E)PYRENE,Benzo(e)pyrène,,,,,106025,8.7,,,,NG/L,NLET Burlington,,
BENZO(A)PYRENE,Benzo(a)pyrène,,,,,106026,9.42,,,,NG/L,NLET Burlington,,
PERYLENE,Perylène,,,,,106027,13.4,,,,NG/L,NLET Burlington,,
"INDENO(1,2,3-CD)PYRENE","Indéno(1,2,3-c,d)pyrène",,,,,106028,18,,,,NG/L,NLET Burlington,,
"DIBENZ(A,H)ANTHRACENE","Dibenz(a,h)anthracène",,,,,106029,25.1,,,,NG/L,NLET Burlington,,
"BENZO(G,H,I)PERYLENE","Benzo(g,h,i)pérylène",,,,,106030,17.1,,,,NG/L,NLET Burlington,,
NAPHTHALENE-D8,Naphtalène-D8,,,,,102146,1,,,,%,NLET Burlington,,
FLUORENE-D10,Fluorène-D10,,,,,102147,1,,,,%,NLET Burlington,,
PYRENE-D10,Pyrène-D10,,,,,102148,1,,,,%,NLET Burlington,,
D-PERYLENE,Pérylène-D12,,,,,74343,1,,,,%,NLET Burlington,,
DIBENZOTHIOPENE,Dibenzothiophène,,,,,106031,8.16,,,,NG/L,NLET Burlington,,
RETENE,Rétène,,,,,106032,13.6,,,,NG/L,NLET Burlington,,
Naphthalene,Naphtalène,,,,,1336,1.15,,,,ng/L,NLET Burlington,,
Acenaphthylene,Acénaphtylène,,,,,1337,0.83,,,,ng/L,NLET Burlington,,
Acenaphthene,Acénaphtène,,,,,1338,0.75,,,,ng/L,NLET Burlington,,
Fluorene,Fluorène,,,,,1339,0.69,,,,ng/L,NLET Burlington,,
Phenanthrene,Phénanthrène,,,,,1340,1.07,,,,ng/L,NLET Burlington,,
Anthracene,Athracène,,,,,1341,0.85,,,,ng/L,NLET Burlington,,
Fluoranthene,Fluoranthène,,,,,1342,0.93,,,,ng/L,NLET Burlington,,
Pyrene,Pyrène,,,,,1343,1.29,,,,ng/L,NLET Burlington,,
Chrysene,Chrysène,,,,,1344,1.08,,,,ng/L,NLET Burlington,,
Benzo(b)fluoranthene,Benzo(b)fluoranthène,,,,,1345,1.62,,,,ng/L,NLET Burlington,,
Benzo(k)fluoranthene,Benzo(k)fluoranthène,,,,,1346,1.59,,,,ng/L,NLET Burlington,,
Benzo( e ) pyrene,Benzo(e)pyrène,,,,,1347,1.65,,,,ng/L,NLET Burlington,,
Benzo(a)pyrene,Benzo(a)pyrène,,,,,1348,1.75,,,,ng/L,NLET Burlington,,
"Indeno(1,2,3-cd)pyrene","Indéno(1,2,3-c,d)pyrène",,,,,1349,0.7,,,,ng/L,NLET Burlington,,
"Dibenzo(a,h)anthracene","Dibenz(a,h)anthracène",,,,,1350,0.53,,,,ng/L,NLET Burlington,,
Benzo(ghi)perylene,"Benzo(g,h,i)pérylène",,,,,1351,3.51,,,,ng/L,NLET Burlington,,
2-Chloronaphthalene,2-chloronaphtalène,,,,,1352,TBD,,,,TBD,NLET Burlington,,
"1,2,3,4-Tetrahydronaphthalene","1,2,3,4-tétrahydronaphtalène",,,,,1353,TBD,,,,TBD,NLET Burlington,,
Naphthalene-D8,Naphtalène-D8,,,,,1354,1,,,,%,NLET Burlington,,
Fluorene-D10,Fluorène-D10,,,,,1355,1,,,,%,NLET Burlington,,
Pyrene-D10,Pyrène-D10,,,,,1356,1,,,,%,NLET Burlington,,
Perylene-D12,Pérylène-D12,,,,,1357,1,,,,%,NLET Burlington,,
C1-methylnaphthalene (2 pks),Naphtalènes-C1,,,,,109658,7.14,,,,ng/L,NLET Burlington,,
BIPHENYL,Biphényle,,,,,109659,3.36,,,,ng/L,NLET Burlington,,
