Sub-Area,Time,Concentional_mg_L,,new method_1_mg_L,,,new method_2_mg_L,,,new method_3_mg_L,,
FA,0,66.82,68.44,70.33226264,65.8262378,67.93569654,62.04565344,64.61626331,58.38902227,65.24596103,64.70727751,62.34750922
FA,15,70.49,56.05,59.83378882,57.58360248,53.32436557,44.24454985,51.26642788,44.28704743,50.63467088,55.54272775,49.89956819
FA,30,55.86,56.99,47.39474712,51.31966282,51.49715173,34.42737657,34.25479187,36.84654405,31.84080042,44.02100053,46.64688784
FA,69,44.66,51.57,56.03943212,50.59002662,50.60381544,34.34987415,35.53519845,35.13148112,45.50407583,36.75420748,39.9926277
FA,98,38.04,43.83,46.78351375,45.30809228,48.03506655,33.81421104,27.91076476,29.07794773,33.32263296,30.59745129,30.77215377
SA1,0,57.4,67.44,65.58763975,63.91720497,64.31411713,60.0996515,55.30193611,49.69014521,67.57588204,71.80762507,65.49291206
SA1,15,55.71,61.21,52.13494232,49.0331677,55.72551908,43.66280736,37.98737657,48.2907454,48.78022117,54.62565561,58.78536072
SA1,30,49.07,50.01,55.50671695,52.57702751,56.55540373,41.02875121,40.32152953,32.70766699,48.60147446,44.91513428,51.29272249
SA1,69,47.9,48.5,50.17961846,49.50690328,43.9174268,33.29742498,34.41994192,31.19821878,39.96478146,38.26923644,30.0173565
SA1,98,41.48,46.47,45.2330701,47.08417036,45.03200532,28.63020329,31.12131655,27.55444337,34.5421169,27.52305424,26.88994207
SA5,0,59.13,54.98,58.64767524,56.42157941,58.61274179,52.46211036,48.91862536,47.37140368,59.92682464,63.94959452,69.8264139
SA5,15,56.43,60.69,55.27077196,62.07615794,49.34808341,47.52662149,48.38302033,44.88737657,53.8678673,52.77708268,54.01754608
SA5,30,46.47,54.2,48.4396362,50.1218811,49.82902396,36.79239109,31.84942885,35.50317522,42.86043181,37.8931227,39.72631912
SA5,69,42.58,35.72,47.13086069,42.37209406,44.99227152,32.11957406,26.89994192,31.85928364,32.81480779,35.81377567,34.52216956
SA5,98,40.7,37.87,45.82803904,46.74818101,45.57695652,29.30851888,29.70778316,27.200697,30.34245392,35.28109531,37.05845182
DP1,0,64.25,67.9,64.47249335,68.62112689,61.55732919,52.80038722,47.68495644,50.5864666,71.42828857,69.72250658,63.45874671
DP1,15,52.8,52.55,58.01707187,54.96077196,54.23847382,41.22906099,37.45417231,36.84470474,48.78675092,41.07349131,51.42866772
DP1,30,59.09,50.18,49.43052351,50.81446318,41.11300799,32.83730881,31.96222652,31.2324879,38.57883096,43.02814113,34.48050553
DP1,69,47.67,37.87,41.40433895,46.67133984,48.6907276,28.94503388,36.64460794,33.38906099,33.31513428,30.09790416,34.75856767
DP1,98,43.86,38.61,50.92186335,47.01456965,46.64349601,29.66888674,34.279303,30.39858664,45.90967878,56.51774618,32.34405477
DP2,0,64.87,57.76,58.6404614,58.44440994,58.27733807,48.57078412,50.37914811,52.12302033,61.30557135,64.92775145,53.52741443
DP2,15,54.06,53.08,49.72033718,52.82496007,48.66890861,42.01345595,39.01864472,36.24731849,41.46691943,36.0661822,41.85609268
DP2,30,48.13,48.38,46.60566105,52.35567879,48.36989352,35.04683446,35.13053243,35.54561471,38.86177988,37.28674039,36.95359663
DP2,69,43.02,37.69,55.57703638,49.3696362,48.67349601,30.55804453,33.08429816,29.68321394,38.9161664,40.31068984,29.95271195
DP2,98,36.34,35.7,49.12641526,44.46426797,46.06674357,24.70133591,27.09181026,26.23047435,31.32339126,27.92027383,26.21280674
