"Measuring program","Site name","Station number","Station name","Latitude","Longitude","Sampling location","Sample date","Sample time","Sample depth","Sample final depth","Sample number","Sample Matrix","Sample Type","Sample Collection","Laboratory","QC Sample (Y/N)","Lab QAQC Batch ID","Analysis method name","Analysis method code","Reporting Detection Limit (RDL)","RDL Unit","Parameter type group","Parameter type name","Parameter sign","Parameter value","Parameter unit symbol","Parameter value and sign","Parameter unit name","Lab Qualifier 1","Lab Qualifier 2","Lab Qualifier 3","Lab Qualifier 4","Sampling comment","Sample remark","Parameter remark","Parameter standard remark","Last modified date and time"
"ABS058","MUSKEG RIVER","AB07DA0620","NEAR THE MOUTH - ARC KM 244.5","57.13472000","-111.60222000","Centre","1999-01-12","15:15:00","","","99SWE00018-01","WATER","VERTICAL INTEGRATED","SAMPLE BOTTLE IN WEIGHTED HOLDER.","ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY","N","","Calculated value","4","","meq/L","Major Ions","Anions Total","","7.9000","me/L","7.9000","Milliequivalent per litre","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0620","NEAR THE MOUTH - ARC KM 244.5","57.13472000","-111.60222000","Centre","1999-01-12","15:15:00","","","99SWE00018-01","WATER","VERTICAL INTEGRATED","SAMPLE BOTTLE IN WEIGHTED HOLDER.","ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY","N","","Inductively coupled argon plasma (ICAP) emission spectrometry","1516","","mg/L","Major Ions","Calcium Dissolved","","107.000","mg/l","107.000","milligram per litre","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0620","NEAR THE MOUTH - ARC KM 244.5","57.13472000","-111.60222000","Centre","1999-01-12","15:15:00","","","99SWE00018-01","WATER","VERTICAL INTEGRATED","SAMPLE BOTTLE IN WEIGHTED HOLDER.","ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY","N","","Calculated value","4","","meq/L","Major Ions","Cations Total","","7.6800","me/L","7.6800","Milliequivalent per litre","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0620","NEAR THE MOUTH - ARC KM 244.5","57.13472000","-111.60222000","Centre","1999-01-12","15:15:00","","","99SWE00018-01","WATER","VERTICAL INTEGRATED","SAMPLE BOTTLE IN WEIGHTED HOLDER.","FIELD","N","","Specific conductance is measured using an electronic meter with nickel cell.","2732","","uS/cm","Routine","Conductance (Field)","","649.0","µS/cm","649.0","microsiemens per centimeter","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0620","NEAR THE MOUTH - ARC KM 244.5","57.13472000","-111.60222000","Centre","1999-01-12","15:15:00","","","99SWE00018-01","WATER","VERTICAL INTEGRATED","SAMPLE BOTTLE IN WEIGHTED HOLDER.","ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY","N","","Colourimetric analysis","119","","mg/L","Carbon","Carbon Dissolved Organic","","14.0","mg/l","14.0","milligram per litre","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0620","NEAR THE MOUTH - ARC KM 244.5","57.13472000","-111.60222000","Centre","1999-01-12","15:15:00","","","99SWE00018-01","WATER","VERTICAL INTEGRATED","SAMPLE BOTTLE IN WEIGHTED HOLDER.","ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY","N","","Total hardness by calculated method","423","","mg/L","Major Ions","Hardness Total (Calcd.) CaCO3","","348","mg/l","348","milligram per litre","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0620","NEAR THE MOUTH - ARC KM 244.5","57.13472000","-111.60222000","Centre","1999-01-12","15:15:00","","","99SWE00018-01","WATER","VERTICAL INTEGRATED","SAMPLE BOTTLE IN WEIGHTED HOLDER.","ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY","N","","Inductively coupled argon plasma (ICAP) emission spectrometry","1516","","mg/L","Major Ions","Magnesium Dissolved","","19.300","mg/l","19.300","milligram per litre","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0620","NEAR THE MOUTH - ARC KM 244.5","57.13472000","-111.60222000","Centre","1999-01-12","15:15:00","","","99SWE00018-01","WATER","VERTICAL INTEGRATED","SAMPLE BOTTLE IN WEIGHTED HOLDER.","ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY","N","","pH - electrometric method","389","","pH units","Routine","pH","","7.58","---","7.58","scalar","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0620","NEAR THE MOUTH - ARC KM 244.5","57.13472000","-111.60222000","Centre","1999-01-12","15:15:00","","","99SWE00018-01","WATER","VERTICAL INTEGRATED","SAMPLE BOTTLE IN WEIGHTED HOLDER.","FIELD","N","","pH is measured using an electronic meter with a glass pH electrode.","2731","","pH units","Routine","pH (Field)","","7.00","---","7.00","scalar","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA0620","NEAR THE MOUTH - ARC KM 244.5","57.13472000","-111.60222000","Centre","1999-01-12","15:15:00","","","99SWE00018-01","WATER","VERTICAL INTEGRATED","SAMPLE BOTTLE IN WEIGHTED HOLDER.","ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY","N","","Specific conductance using a conductivity meter with platinum electrodes","32","","uS/cm","Routine","Specific Conductance","","696","µS/cm","696","microsiemens per centimeter","","","","","","","","","2021-04-20 08:52:36"
