"Measuring program","Site name","Station number","Station name","Latitude","Longitude","Sampling location","Sample date","Sample time","Sample depth","Sample final depth","Sample number","Sample Matrix","Sample Type","Sample Collection","Laboratory","QC Sample (Y/N)","Lab QAQC Batch ID","Analysis method name","Analysis method code","Reporting Detection Limit (RDL)","RDL Unit","Parameter type group","Parameter type name","Parameter sign","Parameter value","Parameter unit symbol","Parameter value and sign","Parameter unit name","Lab Qualifier 1","Lab Qualifier 2","Lab Qualifier 3","Lab Qualifier 4","Sampling comment","Sample remark","Parameter remark","Parameter standard remark","Last modified date and time"
"ABS058","MUSKEG RIVER","AB07DA2750","D/S OF STANLY CREEK -  GRAB SAMPLE","57.33111000","-111.37389000","Centre","1998-05-27","10:50:00","","","98SWE00810-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY","N","","Calculated value","4","","meq/L","Major Ions","Anions Total","","3.2500","me/L","3.2500","Milliequivalent per litre","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA2750","D/S OF STANLY CREEK -  GRAB SAMPLE","57.33111000","-111.37389000","Centre","1998-05-27","10:50:00","","","98SWE00810-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY","N","","Inductively coupled argon plasma (ICAP) emission spectrometry","1516","","mg/L","Major Ions","Calcium Dissolved","","40.700","mg/l","40.700","milligram per litre","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA2750","D/S OF STANLY CREEK -  GRAB SAMPLE","57.33111000","-111.37389000","Centre","1998-05-27","10:50:00","","","98SWE00810-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY","N","","Calculated value","4","","meq/L","Major Ions","Cations Total","","3.1000","me/L","3.1000","Milliequivalent per litre","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA2750","D/S OF STANLY CREEK -  GRAB SAMPLE","57.33111000","-111.37389000","Centre","1998-05-27","10:50:00","","","98SWE00810-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","FIELD","N","","Specific conductance is measured using an electronic meter with nickel cell.","2732","","uS/cm","Routine","Conductance (Field)","","281.0","µS/cm","281.0","microsiemens per centimeter","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA2750","D/S OF STANLY CREEK -  GRAB SAMPLE","57.33111000","-111.37389000","Centre","1998-05-27","10:50:00","","","98SWE00810-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY","N","","Colourimetric analysis","119","","mg/L","Carbon","Carbon Dissolved Organic","","19.4","mg/l","19.4","milligram per litre","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA2750","D/S OF STANLY CREEK -  GRAB SAMPLE","57.33111000","-111.37389000","Centre","1998-05-27","10:50:00","","","98SWE00810-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY","N","","Total hardness by calculated method","423","","mg/L","Major Ions","Hardness Total (Calcd.) CaCO3","","143","mg/l","143","milligram per litre","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA2750","D/S OF STANLY CREEK -  GRAB SAMPLE","57.33111000","-111.37389000","Centre","1998-05-27","10:50:00","","","98SWE00810-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY","N","","Inductively coupled argon plasma (ICAP) emission spectrometry","1516","","mg/L","Major Ions","Magnesium Dissolved","","9.940","mg/l","9.940","milligram per litre","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA2750","D/S OF STANLY CREEK -  GRAB SAMPLE","57.33111000","-111.37389000","Centre","1998-05-27","10:50:00","","","98SWE00810-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY","N","","pH - electrometric method","389","","pH units","Routine","pH","","7.60","---","7.60","scalar","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA2750","D/S OF STANLY CREEK -  GRAB SAMPLE","57.33111000","-111.37389000","Centre","1998-05-27","10:50:00","","","98SWE00810-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","FIELD","N","","pH is measured using an electronic meter with a glass pH electrode.","2731","","pH units","Routine","pH (Field)","","7.54","---","7.54","scalar","","","","","","","","","2021-04-20 08:52:36"
"ABS058","MUSKEG RIVER","AB07DA2750","D/S OF STANLY CREEK -  GRAB SAMPLE","57.33111000","-111.37389000","Centre","1998-05-27","10:50:00","","","98SWE00810-01","WATER","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","FIELD","N","","Water temperature is measured using an electronic meter with a thermistor.","2733","","deg C","Routine","Temperature","","16.68","°C","16.68","degree Celsius","","","","","","","","","2021-04-20 08:52:36"
