"Measuring program","Site name","Station number","Station name","Latitude","Longitude","Sampling location","Sample date","Sample time","Sample depth","Sample final depth","Sample number","Sample Matrix","Sample Type","Sample Collection","Laboratory","QC Sample (Y/N)","Lab QAQC Batch ID","Analysis method name","Analysis method code","Reporting Detection Limit (RDL)","RDL Unit","Parameter type group","Parameter type name","Parameter sign","Parameter value","Parameter unit symbol","Parameter value and sign","Parameter unit name","Lab Qualifier 1","Lab Qualifier 2","Lab Qualifier 3","Lab Qualifier 4","Sampling comment","Sample remark","Parameter remark","Parameter standard remark","Last modified date and time"
"ABS098","BM10","AB07DA3090","UNNAMED LAKE P13","57.31410000","-112.39450000","Centre","2008-09-04","15:15:00","","","08SWE02153","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","","ug/L","Minor Elements","Aluminum Dissolved","","12.1","µg/l","12.1","microgram per litre","","","","","","","Helicopter lake, no field readings","","2021-02-04 09:51:43"
"ABS098","BM10","AB07DA3090","UNNAMED LAKE P13","57.31410000","-112.39450000","Centre","2008-09-04","15:15:00","","","08SWE02153","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Aluminum Total Recoverable","","38.1","µg/l","38.1","microgram per litre","","","","","","","Helicopter lake, no field readings","","2021-02-04 09:51:43"
"ABS098","BM10","AB07DA3090","UNNAMED LAKE P13","57.31410000","-112.39450000","Centre","2008-09-04","15:15:00","","","08SWE02153","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","","ug/L","Minor Elements","Antimony Dissolved","","0.032","µg/l","0.032","microgram per litre","","","","","","","Helicopter lake, no field readings","","2021-02-04 09:51:43"
"ABS098","BM10","AB07DA3090","UNNAMED LAKE P13","57.31410000","-112.39450000","Centre","2008-09-04","15:15:00","","","08SWE02153","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Antimony Total Recoverable","","0.032","µg/l","0.032","microgram per litre","","","","","","","Helicopter lake, no field readings","","2021-02-04 09:51:43"
"ABS098","BM10","AB07DA3090","UNNAMED LAKE P13","57.31410000","-112.39450000","Centre","2008-09-04","15:15:00","","","08SWE02153","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","","ug/L","Minor Elements","Arsenic Dissolved","","0.631","µg/l","0.631","microgram per litre","","","","","","","Helicopter lake, no field readings","","2021-02-04 09:51:43"
"ABS098","BM10","AB07DA3090","UNNAMED LAKE P13","57.31410000","-112.39450000","Centre","2008-09-04","15:15:00","","","08SWE02153","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Arsenic Total Recoverable","","0.703","µg/l","0.703","microgram per litre","","","","","","","Helicopter lake, no field readings","","2021-02-04 09:51:43"
"ABS098","BM10","AB07DA3090","UNNAMED LAKE P13","57.31410000","-112.39450000","Centre","2008-09-04","15:15:00","","","08SWE02153","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","","ug/L","Minor Elements","Barium Dissolved","","16.6","µg/l","16.6","microgram per litre","","","","","","","Helicopter lake, no field readings","","2021-02-04 09:51:43"
"ABS098","BM10","AB07DA3090","UNNAMED LAKE P13","57.31410000","-112.39450000","Centre","2008-09-04","15:15:00","","","08SWE02153","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Barium Total Recoverable","","20.3","µg/l","20.3","microgram per litre","","","","","","","Helicopter lake, no field readings","","2021-02-04 09:51:43"
"ABS098","BM10","AB07DA3090","UNNAMED LAKE P13","57.31410000","-112.39450000","Centre","2008-09-04","15:15:00","","","08SWE02153","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","","ug/L","Minor Elements","Beryllium Dissolved","","0.0124","µg/l","0.0124","microgram per litre","","","","","","","Helicopter lake, no field readings","","2021-02-04 09:51:43"
"ABS098","BM10","AB07DA3090","UNNAMED LAKE P13","57.31410000","-112.39450000","Centre","2008-09-04","15:15:00","","","08SWE02153","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Beryllium Total Recoverable","","0.0135","µg/l","0.0135","microgram per litre","","","","","","","Helicopter lake, no field readings","","2021-02-04 09:51:43"
"ABS098","BM10","AB07DA3090","UNNAMED LAKE P13","57.31410000","-112.39450000","Centre","2008-09-04","15:15:00","","","08SWE02153","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","","ug/L","Minor Elements","Bismuth Dissolved","","0.00120","µg/l","0.00120","microgram per litre","","","","","","","Helicopter lake, no field readings","","2021-02-04 09:51:43"
"ABS098","BM10","AB07DA3090","UNNAMED LAKE P13","57.31410000","-112.39450000","Centre","2008-09-04","15:15:00","","","08SWE02153","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Bismuth Total Recoverable","","0.00230","µg/l","0.00230","microgram per litre","","","","","","","Helicopter lake, no field readings","","2021-02-04 09:51:43"
"ABS098","BM10","AB07DA3090","UNNAMED LAKE P13","57.31410000","-112.39450000","Centre","2008-09-04","15:15:00","","","08SWE02153","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","","ug/L","Minor Elements","Boron Dissolved","","46.9","µg/l","46.9","microgram per litre","","","","","","","Helicopter lake, no field readings","","2021-02-04 09:51:43"
"ABS098","BM10","AB07DA3090","UNNAMED LAKE P13","57.31410000","-112.39450000","Centre","2008-09-04","15:15:00","","","08SWE02153","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Boron Total Recoverable","","48.9","µg/l","48.9","microgram per litre","","","","","","","Helicopter lake, no field readings","","2021-02-04 09:51:43"
"ABS098","BM10","AB07DA3090","UNNAMED LAKE P13","57.31410000","-112.39450000","Centre","2008-09-04","15:15:00","","","08SWE02153","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","","ug/L","Minor Elements","Cadmium Dissolved","","0.0206","µg/l","0.0206","microgram per litre","","","","","","","Helicopter lake, no field readings","","2021-02-04 09:51:43"
"ABS098","BM10","AB07DA3090","UNNAMED LAKE P13","57.31410000","-112.39450000","Centre","2008-09-04","15:15:00","","","08SWE02153","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Cadmium Total Recoverable","","0.052","µg/l","0.052","microgram per litre","","","","","","","Helicopter lake, no field readings","","2021-02-04 09:51:43"
