"Measuring program","Site name","Station number","Station name","Latitude","Longitude","Sampling location","Sample date","Sample time","Sample depth","Sample final depth","Sample number","Sample Matrix","Sample Type","Sample Collection","Laboratory","QC Sample (Y/N)","Lab QAQC Batch ID","Analysis method name","Analysis method code","Reporting Detection Limit (RDL)","RDL Unit","Parameter type group","Parameter type name","Parameter sign","Parameter value","Parameter unit symbol","Parameter value and sign","Parameter unit name","Lab Qualifier 1","Lab Qualifier 2","Lab Qualifier 3","Lab Qualifier 4","Sampling comment","Sample remark","Parameter remark","Parameter standard remark","Last modified date and time"
"ABS098","WF2","AB07JB0400","UNNAMED LAKE A47","56.24520000","-113.14110000","Centre","2006-08-24","14:00:00","","","06SWE01920","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Aluminum Total Recoverable","","32.7","µg/l","32.7","microgram per litre","","","","","","","Dark E124, light 10.  Zooplankton x 2 taken.  14C, 60% cloud.","","2021-02-04 09:51:43"
"ABS098","WF2","AB07JB0400","UNNAMED LAKE A47","56.24520000","-113.14110000","Centre","2006-08-24","14:00:00","","","06SWE01920","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Antimony Total Recoverable","","0.024","µg/l","0.024","microgram per litre","","","","","","","Dark E124, light 10.  Zooplankton x 2 taken.  14C, 60% cloud.","","2021-02-04 09:51:43"
"ABS098","WF2","AB07JB0400","UNNAMED LAKE A47","56.24520000","-113.14110000","Centre","2006-08-24","14:00:00","","","06SWE01920","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Arsenic Total Recoverable","","0.657","µg/l","0.657","microgram per litre","","","","","","","Dark E124, light 10.  Zooplankton x 2 taken.  14C, 60% cloud.","","2021-02-04 09:51:43"
"ABS098","WF2","AB07JB0400","UNNAMED LAKE A47","56.24520000","-113.14110000","Centre","2006-08-24","14:00:00","","","06SWE01920","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Barium Total Recoverable","","13.2","µg/l","13.2","microgram per litre","","","","","","","Dark E124, light 10.  Zooplankton x 2 taken.  14C, 60% cloud.","","2021-02-04 09:51:43"
"ABS098","WF2","AB07JB0400","UNNAMED LAKE A47","56.24520000","-113.14110000","Centre","2006-08-24","14:00:00","","","06SWE01920","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Beryllium Total Recoverable","","0.00720","µg/l","0.00720","microgram per litre","","","","","","","Dark E124, light 10.  Zooplankton x 2 taken.  14C, 60% cloud.","","2021-02-04 09:51:43"
"ABS098","WF2","AB07JB0400","UNNAMED LAKE A47","56.24520000","-113.14110000","Centre","2006-08-24","14:00:00","","","06SWE01920","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Bismuth Total Recoverable","","0.00100","µg/l","0.00100","microgram per litre","L: Off-scale high. Actual value is known to be greater than value given","","","","","","Dark E124, light 10.  Zooplankton x 2 taken.  14C, 60% cloud.","","2021-02-04 09:51:43"
"ABS098","WF2","AB07JB0400","UNNAMED LAKE A47","56.24520000","-113.14110000","Centre","2006-08-24","14:00:00","","","06SWE01920","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Boron Total Recoverable","","18.2","µg/l","18.2","microgram per litre","","","","","","","Dark E124, light 10.  Zooplankton x 2 taken.  14C, 60% cloud.","","2021-02-04 09:51:43"
"ABS098","WF2","AB07JB0400","UNNAMED LAKE A47","56.24520000","-113.14110000","Centre","2006-08-24","14:00:00","","","06SWE01920","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Cadmium Total Recoverable","","0.022","µg/l","0.022","microgram per litre","","","","","","","Dark E124, light 10.  Zooplankton x 2 taken.  14C, 60% cloud.","","2021-02-04 09:51:43"
"ABS098","WF2","AB07JB0400","UNNAMED LAKE A47","56.24520000","-113.14110000","Centre","2006-08-24","14:00:00","","","06SWE01920","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","mg/L","Major Ions","Chlorine Total Recoverable","","0.381","mg/l","0.381","milligram per litre","","","","","","","Dark E124, light 10.  Zooplankton x 2 taken.  14C, 60% cloud.","","2021-02-04 09:51:43"
"ABS098","WF2","AB07JB0400","UNNAMED LAKE A47","56.24520000","-113.14110000","Centre","2006-08-24","14:00:00","","","06SWE01920","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","","ug/L","Minor Elements","Chromium Total Recoverable","","0.146","µg/l","0.146","microgram per litre","","","","","","","Dark E124, light 10.  Zooplankton x 2 taken.  14C, 60% cloud.","","2021-02-04 09:51:43"
