"Measuring program","Site name","Station number","Station name","Latitude","Longitude","Sampling location","Sample date","Sample time","Sample depth","Sample final depth","Sample number","Sample Matrix","Sample Type","Sample Collection","Laboratory","QC Sample (Y/N)","Lab QAQC Batch ID","Analysis method name","Analysis method code","Reporting Detection Limit (RDL)","RDL Unit","Parameter type group","Parameter type name","Parameter sign","Parameter value","Parameter unit symbol","Parameter value and sign","Parameter unit name","Lab Qualifier 1","Lab Qualifier 2","Lab Qualifier 3","Lab Qualifier 4","Sampling comment","Sample remark","Parameter remark","Parameter standard remark","Last modified date and time"
"ABS098","SM2","AB07CE0820","UNNAMED LAKE 82","55.79170000","-111.82500000","Centre","2003-08-28","07:00:00","","","03SWE01747","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","True and apparent colour are determined using platinum-cobalt colourimetric method.","3535","1","rel units","Routine","Colour True","","64","---","64","scalar","","","","","","","ASL342 is RAMP SM2.  Fieldsheet and ARC metals PDF missing.","","2021-02-04 09:51:43"
"ABS098","SM2","AB07CE0820","UNNAMED LAKE 82","55.79170000","-111.82500000","Centre","2003-08-28","07:00:00","","","03SWE01747","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","pH - electrometric method","389","","pH units","Routine","pH","","6.76","---","6.76","scalar","","","","","","","ASL342 is RAMP SM2.  Fieldsheet and ARC metals PDF missing.","","2021-02-04 09:51:43"
"ABS098","SM2","AB07CE0820","UNNAMED LAKE 82","55.79170000","-111.82500000","Centre","2003-08-28","07:00:00","","","03SWE01747","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Specific conductance using a conductivity meter with platinum electrodes","32","0.3","uS/cm","Routine","Specific Conductance","","31.1","µS/cm","31.1","microsiemens per centimeter","","","","","","","ASL342 is RAMP SM2.  Fieldsheet and ARC metals PDF missing.","","2021-02-04 09:51:43"
"ABS098","SM2","AB07CE0820","UNNAMED LAKE 82","55.79170000","-111.82500000","Centre","2003-08-28","07:00:00","","","03SWE01747","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Nonfilterable residue by gravimetric method","396","0.05","mg/L","Routine","Residue Nonfilterable","","12.5","mg/l","12.5","milligram per litre","","","","","","","ASL342 is RAMP SM2.  Fieldsheet and ARC metals PDF missing.","","2021-02-04 09:51:43"
"ABS098","SM2","AB07CE0820","UNNAMED LAKE 82","55.79170000","-111.82500000","Centre","2003-08-28","07:00:00","","","03SWE01747","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Gran Titration","483","0.3","mg/L","Major Ions","Alkalinity Gran CaCO3","","8.7","mg/l","8.7","milligram per litre","","","","","","","ASL342 is RAMP SM2.  Fieldsheet and ARC metals PDF missing.","","2021-02-04 09:51:43"
"ABS098","SM2","AB07CE0820","UNNAMED LAKE 82","55.79170000","-111.82500000","Centre","2003-08-28","07:00:00","","","03SWE01747","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Atomic absorption spectrometry","482","0.003","mg/L","Major Ions","Calcium Dissolved","","3.12","mg/l","3.12","milligram per litre","","","","","","","ASL342 is RAMP SM2.  Fieldsheet and ARC metals PDF missing.","","2021-02-04 09:51:43"
"ABS098","SM2","AB07CE0820","UNNAMED LAKE 82","55.79170000","-111.82500000","Centre","2003-08-28","07:00:00","","","03SWE01747","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Fluorometry with ethanol extraction","484","0.02","ug/L","Biological","Chlorophyll A","","16.0","µg/l","16.0","microgram per litre","","","","","","","ASL342 is RAMP SM2.  Fieldsheet and ARC metals PDF missing.","","2021-03-12 11:26:14"
"ABS098","SM2","AB07CE0820","UNNAMED LAKE 82","55.79170000","-111.82500000","Centre","2003-08-28","07:00:00","","","03SWE01747","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Analysis of anions and cations by suppressed ion chromatography","2912","0.03","mg/L","Major Ions","Chloride Dissolved","","0.280","mg/l","0.280","milligram per litre","","","","","","","ASL342 is RAMP SM2.  Fieldsheet and ARC metals PDF missing.","","2021-02-04 09:51:43"
"ABS098","SM2","AB07CE0820","UNNAMED LAKE 82","55.79170000","-111.82500000","Centre","2003-08-28","07:00:00","","","03SWE01747","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Calculated value (pH)","137","2.5","mg/L","Major Ions","Carbonate (calcd.)","","2.50","mg/l","2.50","milligram per litre","L: Off-scale high. Actual value is known to be greater than value given","","","","","","ASL342 is RAMP SM2.  Fieldsheet and ARC metals PDF missing.","","2021-02-04 09:51:43"
"ABS098","SM2","AB07CE0820","UNNAMED LAKE 82","55.79170000","-111.82500000","Centre","2003-08-28","07:00:00","","","03SWE01747","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Carbon in water is determined by auto infrared analyzer.","3142","0.1","mg/L","Carbon","Carbon Dissolved Inorganic","","1.7","mg/l","1.7","milligram per litre","","","","","","","ASL342 is RAMP SM2.  Fieldsheet and ARC metals PDF missing.","","2021-02-04 09:51:43"
