"Measuring program","Site name","Station number","Station name","Latitude","Longitude","Sampling location","Sample date","Sample time","Sample depth","Sample final depth","Sample number","Sample Matrix","Sample Type","Sample Collection","Laboratory","QC Sample (Y/N)","Lab QAQC Batch ID","Analysis method name","Analysis method code","Reporting Detection Limit (RDL)","RDL Unit","Parameter type group","Parameter type name","Parameter sign","Parameter value","Parameter unit symbol","Parameter value and sign","Parameter unit name","Lab Qualifier 1","Lab Qualifier 2","Lab Qualifier 3","Lab Qualifier 4","Sampling comment","Sample remark","Parameter remark","Parameter standard remark","Last modified date and time"
"ABS098","NE10","AB07CD0260","UNNAMED LAKE 6","56.64170000","-110.20000000","Centre","2005-04-06","14:55:00","1","","05SWE00994","","DISCRETE SAMPLE (GRAB)","KEMERRER/VAN DORN -- WATER COLLECTION BOTTLE","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","True and apparent colour are determined using platinum-cobalt colourimetric method.","3535","1","rel units","Routine","Colour True","","28","---","28","scalar","","","","","","","Extra seasonal sampling; Metals analysis was not done, reason unknown, too late to follow up. White 776, Brown 219.  Lots of fine particles in water.  Sampled @ 1m.  Ice depth ~0.6m- soft ice.","","2021-02-04 09:51:43"
"ABS098","NE10","AB07CD0260","UNNAMED LAKE 6","56.64170000","-110.20000000","Centre","2005-04-06","14:55:00","1","","05SWE00994","","DISCRETE SAMPLE (GRAB)","KEMERRER/VAN DORN -- WATER COLLECTION BOTTLE","FIELD","N","","Specific conductance is measured using an electronic meter with nickel cell.","2732","","uS/cm","Routine","Conductance (Field)","","242.0","µS/cm","242.0","microsiemens per centimeter","","","","","","","Extra seasonal sampling; Metals analysis was not done, reason unknown, too late to follow up. White 776, Brown 219.  Lots of fine particles in water.  Sampled @ 1m.  Ice depth ~0.6m- soft ice.","","2021-02-04 09:51:43"
"ABS098","NE10","AB07CD0260","UNNAMED LAKE 6","56.64170000","-110.20000000","Centre","2005-04-06","14:55:00","1","","05SWE00994","","DISCRETE SAMPLE (GRAB)","KEMERRER/VAN DORN -- WATER COLLECTION BOTTLE","FIELD","N","","Field observation pertaining to physical presence (depth) in meters at the site.","3366","","m","Field Observations","Ice Thickness Estimate","","0.6","m","0.6","meter","","","","","","","Extra seasonal sampling; Metals analysis was not done, reason unknown, too late to follow up. White 776, Brown 219.  Lots of fine particles in water.  Sampled @ 1m.  Ice depth ~0.6m- soft ice.","","2021-02-04 09:51:43"
"ABS098","NE10","AB07CD0260","UNNAMED LAKE 6","56.64170000","-110.20000000","Centre","2005-04-06","14:55:00","1","","05SWE00994","","DISCRETE SAMPLE (GRAB)","KEMERRER/VAN DORN -- WATER COLLECTION BOTTLE","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","pH - electrometric method","389","","pH units","Routine","pH","","7.56","---","7.56","scalar","","","","","","","Extra seasonal sampling; Metals analysis was not done, reason unknown, too late to follow up. White 776, Brown 219.  Lots of fine particles in water.  Sampled @ 1m.  Ice depth ~0.6m- soft ice.","","2021-02-04 09:51:43"
"ABS098","NE10","AB07CD0260","UNNAMED LAKE 6","56.64170000","-110.20000000","Centre","2005-04-06","14:55:00","1","","05SWE00994","","DISCRETE SAMPLE (GRAB)","KEMERRER/VAN DORN -- WATER COLLECTION BOTTLE","FIELD","N","","pH is measured using an electronic meter with a glass pH electrode.","2731","","pH units","Routine","pH (Field)","","6.79","---","6.79","scalar","","","","","","","Extra seasonal sampling; Metals analysis was not done, reason unknown, too late to follow up. White 776, Brown 219.  Lots of fine particles in water.  Sampled @ 1m.  Ice depth ~0.6m- soft ice.","","2021-02-04 09:51:43"
"ABS098","NE10","AB07CD0260","UNNAMED LAKE 6","56.64170000","-110.20000000","Centre","2005-04-06","14:55:00","1","","05SWE00994","","DISCRETE SAMPLE (GRAB)","KEMERRER/VAN DORN -- WATER COLLECTION BOTTLE","FIELD","N","","Closed flow cell; platinum electrode","31","","mV","Routine","Redox Potential","","131.2","mV","131.2","millivolt","","","","","","","Extra seasonal sampling; Metals analysis was not done, reason unknown, too late to follow up. White 776, Brown 219.  Lots of fine particles in water.  Sampled @ 1m.  Ice depth ~0.6m- soft ice.","","2021-02-04 09:51:43"
"ABS098","NE10","AB07CD0260","UNNAMED LAKE 6","56.64170000","-110.20000000","Centre","2005-04-06","14:55:00","1","","05SWE00994","","DISCRETE SAMPLE (GRAB)","KEMERRER/VAN DORN -- WATER COLLECTION BOTTLE","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Specific conductance using a conductivity meter with platinum electrodes","32","0.3","uS/cm","Routine","Specific Conductance","","222","µS/cm","222","microsiemens per centimeter","","","","","","","Extra seasonal sampling; Metals analysis was not done, reason unknown, too late to follow up. White 776, Brown 219.  Lots of fine particles in water.  Sampled @ 1m.  Ice depth ~0.6m- soft ice.","","2021-02-04 09:51:43"
"ABS098","NE10","AB07CD0260","UNNAMED LAKE 6","56.64170000","-110.20000000","Centre","2005-04-06","14:55:00","1","","05SWE00994","","DISCRETE SAMPLE (GRAB)","KEMERRER/VAN DORN -- WATER COLLECTION BOTTLE","FIELD","N","","Water temperature is measured using an electronic meter with a thermistor.","2733","","deg C","Routine","Temperature","","2.20","°C","2.20","degree Celsius","","","","","","","Extra seasonal sampling; Metals analysis was not done, reason unknown, too late to follow up. White 776, Brown 219.  Lots of fine particles in water.  Sampled @ 1m.  Ice depth ~0.6m- soft ice.","","2021-02-04 09:51:43"
"ABS098","NE10","AB07CD0260","UNNAMED LAKE 6","56.64170000","-110.20000000","Centre","2005-04-06","14:55:00","1","","05SWE00994","","DISCRETE SAMPLE (GRAB)","KEMERRER/VAN DORN -- WATER COLLECTION BOTTLE","FIELD","N","","OXYGEN, DISSOLVED: MEASURED BY ELECTRONIC METER WITH A POLAROGRAPH.","2730","","mg/L","Oxygen","Oxygen Dissolved (Field Meter)","","2.88","mg/l","2.88","milligram per litre","","","","","","","Extra seasonal sampling; Metals analysis was not done, reason unknown, too late to follow up. White 776, Brown 219.  Lots of fine particles in water.  Sampled @ 1m.  Ice depth ~0.6m- soft ice.","","2021-02-04 09:51:43"
"ABS098","NE10","AB07CD0260","UNNAMED LAKE 6","56.64170000","-110.20000000","Centre","2005-04-06","14:55:00","1","","05SWE00994","","DISCRETE SAMPLE (GRAB)","KEMERRER/VAN DORN -- WATER COLLECTION BOTTLE","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Gran Titration","483","0.3","mg/L","Major Ions","Alkalinity Gran CaCO3","","115.1","mg/l","115.1","milligram per litre","","","","","","","Extra seasonal sampling; Metals analysis was not done, reason unknown, too late to follow up. White 776, Brown 219.  Lots of fine particles in water.  Sampled @ 1m.  Ice depth ~0.6m- soft ice.","","2021-02-04 09:51:43"
