"Measuring program","Site name","Station number","Station name","Latitude","Longitude","Sampling location","Sample date","Sample time","Sample depth","Sample final depth","Sample number","Sample Matrix","Sample Type","Sample Collection","Laboratory","QC Sample (Y/N)","Lab QAQC Batch ID","Analysis method name","Analysis method code","Reporting Detection Limit (RDL)","RDL Unit","Parameter type group","Parameter type name","Parameter sign","Parameter value","Parameter unit symbol","Parameter value and sign","Parameter unit name","Lab Qualifier 1","Lab Qualifier 2","Lab Qualifier 3","Lab Qualifier 4","Sampling comment","Sample remark","Parameter remark","Parameter standard remark","Last modified date and time"
"ABS098","NE7","AB07DC0540","UNNAMED LAKE P27","57.14660000","-110.86280000","Centre","2015-08-24","12:45:00","","","15SWE05408","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","0.13","ug/L","Minor Elements","Aluminum Dissolved","","45.4","µg/l","45.4","microgram per litre","","","","","","","aphan; secchi and depths not recorded-taken from helicopter","","2021-02-04 09:51:43"
"ABS098","NE7","AB07DC0540","UNNAMED LAKE P27","57.14660000","-110.86280000","Centre","2015-08-24","12:45:00","","","15SWE05408","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","0.2","ug/L","Minor Elements","Aluminum Total Recoverable","","87.0","µg/l","87.0","microgram per litre","","","","","","","aphan; secchi and depths not recorded-taken from helicopter","","2021-02-04 09:51:43"
"ABS098","NE7","AB07DC0540","UNNAMED LAKE P27","57.14660000","-110.86280000","Centre","2015-08-24","12:45:00","","","15SWE05408","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","0.008","ug/L","Minor Elements","Antimony Dissolved","","0.011","µg/l","0.011","microgram per litre","","","","","","","aphan; secchi and depths not recorded-taken from helicopter","","2021-02-04 09:51:43"
"ABS098","NE7","AB07DC0540","UNNAMED LAKE P27","57.14660000","-110.86280000","Centre","2015-08-24","12:45:00","","","15SWE05408","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","0.001","ug/L","Minor Elements","Antimony Total Recoverable","","0.011","µg/l","0.011","microgram per litre","","","","","","","aphan; secchi and depths not recorded-taken from helicopter","","2021-02-04 09:51:43"
"ABS098","NE7","AB07DC0540","UNNAMED LAKE P27","57.14660000","-110.86280000","Centre","2015-08-24","12:45:00","","","15SWE05408","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","0.003","ug/L","Minor Elements","Arsenic Dissolved","","0.264","µg/l","0.264","microgram per litre","","","","","","","aphan; secchi and depths not recorded-taken from helicopter","","2021-02-04 09:51:43"
"ABS098","NE7","AB07DC0540","UNNAMED LAKE P27","57.14660000","-110.86280000","Centre","2015-08-24","12:45:00","","","15SWE05408","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","0.004","ug/L","Minor Elements","Arsenic Total Recoverable","","0.267","µg/l","0.267","microgram per litre","","","","","","","aphan; secchi and depths not recorded-taken from helicopter","","2021-02-04 09:51:43"
"ABS098","NE7","AB07DC0540","UNNAMED LAKE P27","57.14660000","-110.86280000","Centre","2015-08-24","12:45:00","","","15SWE05408","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","0.05","ug/L","Minor Elements","Barium Dissolved","","6.06","µg/l","6.06","microgram per litre","","","","","","","aphan; secchi and depths not recorded-taken from helicopter","","2021-02-04 09:51:43"
"ABS098","NE7","AB07DC0540","UNNAMED LAKE P27","57.14660000","-110.86280000","Centre","2015-08-24","12:45:00","","","15SWE05408","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","0.004","ug/L","Minor Elements","Barium Total Recoverable","","6.99","µg/l","6.99","microgram per litre","","","","","","","aphan; secchi and depths not recorded-taken from helicopter","","2021-02-04 09:51:43"
"ABS098","NE7","AB07DC0540","UNNAMED LAKE P27","57.14660000","-110.86280000","Centre","2015-08-24","12:45:00","","","15SWE05408","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Dissolved elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1849","0.009","ug/L","Minor Elements","Beryllium Dissolved","","0.00900","µg/l","0.00900","microgram per litre","L: Off-scale high. Actual value is known to be greater than value given","","","","","","aphan; secchi and depths not recorded-taken from helicopter","","2021-02-04 09:51:43"
"ABS098","NE7","AB07DC0540","UNNAMED LAKE P27","57.14660000","-110.86280000","Centre","2015-08-24","12:45:00","","","15SWE05408","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES)","N","","Total recoverable elements by inductively coupled argon plasma emission spectrometry (ICP-MS).","1847","0.008","ug/L","Minor Elements","Beryllium Total Recoverable","","0.00800","µg/l","0.00800","microgram per litre","L: Off-scale high. Actual value is known to be greater than value given","","","","","","aphan; secchi and depths not recorded-taken from helicopter","","2021-02-04 09:51:43"
